date,positive_total,positive_daily,odp_process,odp_end,odp_total,odp_daily,pdp_process,pdp_end,pdp_total,pdp_daily,total_deceased,total_released,total_positive_kotabekasi,total_positive_depok,total_positive_kabbekasi,total_positive_kotabandung,total_positive_kotabogor,total_positive_kabbogor,total_positive_kotacimahi,total_positive_kabbandung,total_positive_kabkuningan,total_positive_kabpurwakarta,total_positive_kabcirebon,total_positive_kabsukabumi,total_positive_kabsumedang,total_positive_kotatasikmalaya,total_positive_kabciamis,total_positive_kabcianjur,total_positive_kabgarut,total_positive_kabindramayu,total_positive_kabkarawang,total_positive_kabmajalengka,total_positive_kabpangandaran,total_positive_kabsubang,total_positive_kabtasikmalaya,total_positive_kotabanjar,total_positive_kotacirebon,total_positive_kotasukabumi
01-Mar-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02-Mar-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03-Mar-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04-Mar-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05-Mar-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06-Mar-20,3,3,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
07-Mar-20,3,0,0,0,429,0,0,0,48,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
08-Mar-20,3,0,0,0,429,0,0,0,48,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09-Mar-20,3,0,0,0,533,0,0,0,49,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10-Mar-20,3,0,0,0,592,59,0,0,53,4,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11-Mar-20,3,0,0,0,639,47,0,0,59,6,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12-Mar-20,3,0,0,0,653,14,0,0,63,4,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13-Mar-20,3,0,0,0,706,53,0,0,65,2,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14-Mar-20,3,0,0,0,706,0,0,0,82,17,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15-Mar-20,10,7,0,0,785,79,0,0,83,0,0,0,0,3,4,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16-Mar-20,10,0,0,0,881,96,0,0,89,6,0,0,0,3,4,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17-Mar-20,10,0,0,0,1004,123,0,0,101,12,0,0,0,3,4,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18-Mar-20,22,12,0,0,1165,161,0,0,126,25,0,0,9,3,4,2,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19-Mar-20,26,4,0,0,1412,247,0,0,132,6,0,0,9,6,4,2,0,1,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20-Mar-20,41,15,0,0,1506,94,0,0,136,4,0,0,12,10,4,2,7,4,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21-Mar-20,55,14,0,0,1774,268,0,0,157,21,0,0,12,10,4,6,7,4,0,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22-Mar-20,59,4,0,0,1822,48,0,0,166,9,0,0,13,10,5,6,7,4,0,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23-Mar-20,59,0,0,0,2519,697,0,0,385,219,0,0,16,10,5,6,7,5,2,3,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24-Mar-20,60,1,0,0,2771,252,0,0,466,81,0,0,16,10,5,6,7,5,2,3,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25-Mar-20,73,13,0,0,3669,898,0,0,572,106,0,0,19,10,6,10,7,5,2,3,2,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
26-Mar-20,78,5,0,0,3703,34,0,0,578,6,0,0,19,10,6,12,9,5,3,3,2,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
27-Mar-20,98,20,3575,1399,4974,1271,524,134,658,80,14,5,20,14,12,12,9,5,4,3,2,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
28-Mar-20,98,0,3575,1399,4974,0,524,134,658,0,14,5,20,14,12,12,9,5,4,3,2,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
